Epoch,Time(s),Total_Loss,Classifier_Loss,Box_Reg_Loss,Objectness_Loss,RPN_Box_Loss,Val_Precision,Val_Recall,Val_F1,Val_mAP50
1,59.82,1.3124,0.3714,0.5242,0.0971,0.3196,0.6268,0.6048,0.6156,0.6156
2,56.42,0.7859,0.1938,0.3195,0.0221,0.2506,0.7034,0.6833,0.6932,0.6932
3,56.50,0.6576,0.1589,0.2648,0.0183,0.2156,0.7444,0.7045,0.7239,0.7239
4,56.68,0.5931,0.1398,0.2375,0.0161,0.1998,0.7439,0.7428,0.7434,0.7434
5,56.56,0.5479,0.1280,0.2219,0.0145,0.1835,0.7790,0.7373,0.7576,0.7576
6,56.55,0.5151,0.1167,0.2103,0.0139,0.1743,0.7722,0.7590,0.7655,0.7655
7,56.52,0.4876,0.1114,0.1965,0.0128,0.1669,0.8108,0.7558,0.7823,0.7823
8,56.56,0.4626,0.1037,0.1857,0.0129,0.1603,0.7679,0.7715,0.7697,0.7697
9,56.63,0.4464,0.0997,0.1811,0.0120,0.1536,0.7873,0.7641,0.7755,0.7755
10,56.34,0.4220,0.0918,0.1703,0.0122,0.1477,0.8104,0.7756,0.7926,0.7926
11,56.40,0.4102,0.0891,0.1654,0.0118,0.1438,0.8120,0.7659,0.7883,0.7883
12,56.57,0.3897,0.0835,0.1593,0.0106,0.1364,0.8273,0.7761,0.8009,0.8009
13,56.68,0.3837,0.0824,0.1551,0.0101,0.1361,0.8247,0.7710,0.7969,0.7969
14,56.61,0.3753,0.0801,0.1493,0.0100,0.1358,0.8214,0.7816,0.8010,0.8010
15,56.69,0.3592,0.0757,0.1433,0.0103,0.1301,0.8243,0.7733,0.7980,0.7980
16,56.67,0.3567,0.0746,0.1427,0.0096,0.1297,0.8148,0.7738,0.7937,0.7937
17,56.66,0.3416,0.0719,0.1360,0.0092,0.1245,0.8273,0.7830,0.8046,0.8046
18,56.49,0.3360,0.0692,0.1351,0.0088,0.1229,0.8372,0.7761,0.8055,0.8055
19,56.54,0.3277,0.0673,0.1321,0.0090,0.1192,0.8390,0.7747,0.8056,0.8056
20,56.77,0.3185,0.0663,0.1265,0.0086,0.1171,0.8218,0.7835,0.8022,0.8022
21,56.42,0.3133,0.0642,0.1240,0.0087,0.1164,0.8106,0.7825,0.7963,0.7963
22,56.47,0.3072,0.0629,0.1228,0.0086,0.1130,0.8004,0.7941,0.7972,0.7972
23,56.55,0.3018,0.0615,0.1202,0.0085,0.1117,0.8014,0.7955,0.7984,0.7984
24,56.37,0.2970,0.0600,0.1190,0.0083,0.1097,0.8335,0.7858,0.8089,0.8089
25,56.60,0.2903,0.0587,0.1156,0.0083,0.1077,0.8346,0.7756,0.8040,0.8040
26,56.74,0.2867,0.0581,0.1139,0.0077,0.1071,0.8325,0.7918,0.8116,0.8116
27,56.40,0.2771,0.0564,0.1081,0.0080,0.1047,0.8153,0.7927,0.8038,0.8038
28,56.52,0.2735,0.0550,0.1066,0.0078,0.1041,0.8440,0.7765,0.8088,0.8088
29,56.37,0.2686,0.0545,0.1033,0.0079,0.1028,0.8239,0.7904,0.8068,0.8068
30,56.44,0.2612,0.0535,0.1013,0.0078,0.0986,0.8249,0.7872,0.8056,0.8056
31,56.46,0.2580,0.0530,0.0968,0.0075,0.1007,0.8297,0.7830,0.8057,0.8057
32,56.56,0.2582,0.0521,0.1001,0.0070,0.0990,0.8307,0.7950,0.8125,0.8125
33,56.43,0.2509,0.0506,0.0960,0.0071,0.0971,0.8339,0.7927,0.8128,0.8128
34,56.59,0.2548,0.0514,0.0988,0.0082,0.0964,0.8405,0.7932,0.8162,0.8162
35,56.48,0.2435,0.0485,0.0942,0.0067,0.0942,0.8248,0.7955,0.8099,0.8099
36,56.33,0.2419,0.0477,0.0932,0.0068,0.0941,0.8592,0.7807,0.8181,0.8181
37,56.43,0.2472,0.0494,0.0955,0.0076,0.0947,0.8234,0.7987,0.8109,0.8109
38,56.60,0.2346,0.0463,0.0895,0.0073,0.0915,0.8331,0.7835,0.8075,0.8075
39,56.44,0.2402,0.0470,0.0924,0.0079,0.0929,0.8352,0.7862,0.8100,0.8100
40,56.55,0.2378,0.0476,0.0897,0.0070,0.0935,0.8349,0.7982,0.8161,0.8161
41,56.58,0.2301,0.0464,0.0867,0.0072,0.0899,0.8235,0.8015,0.8124,0.8124
42,56.83,0.2251,0.0461,0.0852,0.0071,0.0866,0.8308,0.7932,0.8115,0.8115
43,56.69,0.2246,0.0454,0.0849,0.0067,0.0876,0.8345,0.7918,0.8126,0.8126
44,56.43,0.2257,0.0447,0.0862,0.0067,0.0881,0.8573,0.7849,0.8195,0.8195
45,56.53,0.2198,0.0443,0.0841,0.0067,0.0847,0.8470,0.7950,0.8202,0.8202
46,56.58,0.2186,0.0441,0.0828,0.0069,0.0849,0.8677,0.7844,0.8240,0.8240
47,56.72,0.2151,0.0431,0.0811,0.0067,0.0843,0.8386,0.8015,0.8196,0.8196
48,56.81,0.2156,0.0430,0.0819,0.0064,0.0842,0.8459,0.7881,0.8160,0.8160
49,56.85,0.2186,0.0441,0.0835,0.0068,0.0843,0.8444,0.7890,0.8158,0.8158
50,56.78,0.2217,0.0441,0.0842,0.0066,0.0869,0.8511,0.7941,0.8216,0.8216
