epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.7576,1.64702,3.15503,1.11564,0.02074,0.17563,0.10047,0.0719,1.34625,3.43113,0.9412,0.00040625,0.00040625,0.00040625
2,18.565,1.45441,1.76662,1.01241,0.22098,0.44547,0.32146,0.18256,1.25161,2.46752,0.93186,0.00081477,0.00081477,0.00081477
3,26.3514,1.31686,1.44925,0.99503,0.60415,0.38898,0.44682,0.26862,1.21109,1.49629,0.9196,0.00121504,0.00121504,0.00121504
4,34.1092,1.27024,1.34077,0.97469,0.53061,0.4428,0.45179,0.25949,1.33738,1.2572,0.94241,0.00121287,0.00121287,0.00121287
5,41.7897,1.25092,1.24316,0.96962,0.59301,0.4813,0.51595,0.31288,1.20233,1.18863,0.91545,0.0012005,0.0012005,0.0012005
6,49.6464,1.18586,1.16841,0.9478,0.63098,0.52994,0.56205,0.33202,1.18151,1.13491,0.90015,0.00118812,0.00118812,0.00118812
7,57.4841,1.15773,1.11839,0.93512,0.71659,0.54484,0.59785,0.36926,1.06264,0.93097,0.88052,0.00117575,0.00117575,0.00117575
8,65.2625,1.14853,1.0718,0.93525,0.66833,0.55525,0.59854,0.36803,1.05939,0.95874,0.88916,0.00116337,0.00116337,0.00116337
9,72.9946,1.0867,1.05081,0.92837,0.74302,0.55047,0.62577,0.36753,1.09494,0.95777,0.88823,0.001151,0.001151,0.001151
10,80.7166,1.09447,1.01448,0.92793,0.72609,0.5744,0.63784,0.40271,0.98918,0.8932,0.86958,0.00113863,0.00113863,0.00113863
11,88.4075,1.09935,1.00869,0.92373,0.76588,0.55007,0.6359,0.38382,1.06633,0.8739,0.88312,0.00112625,0.00112625,0.00112625
12,96.0848,1.07667,0.9686,0.92002,0.79616,0.56068,0.65174,0.41131,1.01304,0.81812,0.873,0.00111388,0.00111388,0.00111388
13,103.749,1.03211,0.93545,0.90878,0.70497,0.60033,0.65499,0.42637,0.91316,0.86101,0.85688,0.0011015,0.0011015,0.0011015
14,111.412,1.02635,0.9267,0.90397,0.74733,0.60403,0.66453,0.42949,0.93204,0.81049,0.85713,0.00108913,0.00108913,0.00108913
15,119.074,1.01895,0.92272,0.90938,0.75754,0.597,0.65549,0.42148,0.91566,0.74771,0.85258,0.00107675,0.00107675,0.00107675
16,126.721,1.00749,0.89982,0.90523,0.7765,0.59082,0.66851,0.44,0.90734,0.77456,0.85162,0.00106437,0.00106437,0.00106437
17,134.379,1.01899,0.90173,0.90921,0.81302,0.59859,0.68345,0.43906,0.90834,0.73803,0.84976,0.001052,0.001052,0.001052
18,142.021,1.03271,0.89374,0.90347,0.7822,0.60577,0.66899,0.42405,0.9498,0.75649,0.85358,0.00103962,0.00103962,0.00103962
19,149.645,0.99153,0.87644,0.90239,0.78946,0.58481,0.66984,0.42797,0.95208,0.74986,0.85444,0.00102725,0.00102725,0.00102725
20,157.258,1.01678,0.86679,0.90126,0.75467,0.64564,0.70231,0.47181,0.8255,0.68783,0.83678,0.00101488,0.00101488,0.00101488
21,164.948,0.99557,0.85492,0.89763,0.77854,0.62478,0.69377,0.43708,0.97287,0.72403,0.85475,0.0010025,0.0010025,0.0010025
22,172.578,0.96068,0.81335,0.89474,0.80509,0.6244,0.70768,0.47672,0.81197,0.67535,0.83837,0.000990125,0.000990125,0.000990125
23,180.216,0.94209,0.80539,0.89418,0.81966,0.63536,0.70346,0.46425,0.87446,0.68154,0.84497,0.00097775,0.00097775,0.00097775
24,187.871,0.9558,0.80163,0.89142,0.7848,0.65261,0.71199,0.4584,0.90641,0.70303,0.84655,0.000965375,0.000965375,0.000965375
25,195.566,0.93353,0.79519,0.88843,0.82448,0.6151,0.70121,0.45852,0.83871,0.67177,0.83607,0.000953,0.000953,0.000953
26,203.297,0.94654,0.79493,0.88735,0.82117,0.63383,0.71067,0.47441,0.82694,0.66873,0.83729,0.000940625,0.000940625,0.000940625
27,210.966,0.95299,0.78865,0.8861,0.81005,0.62891,0.70023,0.45604,0.90233,0.6608,0.84555,0.00092825,0.00092825,0.00092825
28,218.635,0.9303,0.7795,0.88401,0.7782,0.63688,0.70026,0.48316,0.83013,0.67666,0.83988,0.000915875,0.000915875,0.000915875
29,226.392,0.95497,0.79377,0.89052,0.7969,0.6437,0.71165,0.47598,0.8563,0.65973,0.84068,0.0009035,0.0009035,0.0009035
30,234.106,0.89563,0.7513,0.87734,0.81639,0.64173,0.72457,0.4893,0.80507,0.65083,0.83332,0.000891125,0.000891125,0.000891125
31,241.807,0.92531,0.77091,0.88014,0.81697,0.64428,0.71596,0.46304,0.88767,0.67597,0.843,0.00087875,0.00087875,0.00087875
32,249.401,0.89211,0.74133,0.87471,0.83513,0.66071,0.74009,0.49955,0.81748,0.63539,0.83466,0.000866375,0.000866375,0.000866375
33,257.136,0.92153,0.75241,0.87983,0.81848,0.67021,0.74003,0.50656,0.74225,0.61783,0.82396,0.000854,0.000854,0.000854
34,264.871,0.88923,0.74129,0.8758,0.82575,0.66215,0.72707,0.4881,0.83638,0.62204,0.83172,0.000841625,0.000841625,0.000841625
35,272.518,0.88983,0.72418,0.87493,0.85833,0.6414,0.73835,0.49524,0.80115,0.60301,0.82936,0.00082925,0.00082925,0.00082925
36,280.272,0.89119,0.72644,0.87998,0.81199,0.64538,0.73091,0.49587,0.78274,0.62172,0.82815,0.000816875,0.000816875,0.000816875
37,288.047,0.88448,0.73374,0.87616,0.81903,0.65587,0.72844,0.49063,0.81386,0.6383,0.83088,0.0008045,0.0008045,0.0008045
38,295.665,0.87587,0.71717,0.87323,0.79358,0.66313,0.73544,0.50946,0.75573,0.62026,0.82482,0.000792125,0.000792125,0.000792125
39,303.425,0.86903,0.72,0.87194,0.82422,0.67448,0.74559,0.52618,0.71603,0.584,0.82089,0.00077975,0.00077975,0.00077975
40,311.126,0.87046,0.70204,0.87295,0.81704,0.67537,0.73972,0.50591,0.74844,0.59242,0.82581,0.000767375,0.000767375,0.000767375
41,318.768,0.84483,0.6909,0.8696,0.82639,0.67115,0.74608,0.52218,0.71511,0.59349,0.82077,0.000755,0.000755,0.000755
42,326.387,0.86688,0.70152,0.86615,0.84766,0.64952,0.73526,0.50887,0.72658,0.58355,0.82234,0.000742625,0.000742625,0.000742625
43,334.016,0.84201,0.69068,0.86841,0.84483,0.64899,0.73963,0.50125,0.7695,0.58504,0.82476,0.00073025,0.00073025,0.00073025
44,341.565,0.85598,0.69383,0.86714,0.82811,0.66457,0.74239,0.49277,0.77551,0.59959,0.82502,0.000717875,0.000717875,0.000717875
45,349.218,0.86002,0.69209,0.87033,0.82656,0.68021,0.74624,0.51041,0.78196,0.58289,0.82587,0.0007055,0.0007055,0.0007055
46,356.807,0.86504,0.67677,0.86662,0.83372,0.6733,0.74745,0.51757,0.7367,0.57439,0.82066,0.000693125,0.000693125,0.000693125
47,364.382,0.85399,0.67576,0.86108,0.82135,0.67568,0.74113,0.51214,0.73427,0.57515,0.82108,0.00068075,0.00068075,0.00068075
48,371.928,0.83586,0.68242,0.86692,0.83938,0.68301,0.75638,0.53479,0.70395,0.57496,0.81892,0.000668375,0.000668375,0.000668375
49,379.525,0.83632,0.65893,0.86108,0.83762,0.67296,0.74633,0.50834,0.7671,0.57708,0.82497,0.000656,0.000656,0.000656
50,387.049,0.82493,0.66729,0.86455,0.84049,0.65603,0.7448,0.50466,0.81088,0.58576,0.83322,0.000643625,0.000643625,0.000643625
51,394.589,0.85733,0.67412,0.86689,0.83205,0.68595,0.76077,0.53323,0.71914,0.55776,0.82169,0.00063125,0.00063125,0.00063125
52,402.14,0.80206,0.64809,0.85769,0.82807,0.68005,0.76045,0.53454,0.71912,0.56459,0.81873,0.000618875,0.000618875,0.000618875
53,409.622,0.82244,0.66138,0.86729,0.80581,0.69221,0.75383,0.53443,0.71824,0.55696,0.81962,0.0006065,0.0006065,0.0006065
54,417.181,0.82994,0.65862,0.86256,0.83997,0.68912,0.76333,0.53303,0.71898,0.55969,0.81641,0.000594125,0.000594125,0.000594125
55,424.737,0.83735,0.65608,0.86176,0.811,0.69606,0.75634,0.52083,0.77409,0.557,0.82519,0.00058175,0.00058175,0.00058175
56,432.308,0.82474,0.65464,0.85845,0.84461,0.67521,0.75706,0.52893,0.72286,0.55826,0.81885,0.000569375,0.000569375,0.000569375
57,439.866,0.84649,0.65199,0.86127,0.85065,0.68006,0.76334,0.54084,0.71664,0.535,0.81706,0.000557,0.000557,0.000557
58,447.435,0.83144,0.64549,0.86041,0.82342,0.69843,0.76601,0.55033,0.69202,0.53024,0.81569,0.000544625,0.000544625,0.000544625
59,455.032,0.83456,0.64284,0.85629,0.8511,0.67525,0.75883,0.54854,0.68933,0.54196,0.8148,0.00053225,0.00053225,0.00053225
60,462.67,0.83421,0.64793,0.8634,0.83956,0.69806,0.7721,0.54235,0.71893,0.54535,0.81734,0.000519875,0.000519875,0.000519875
61,470.284,0.82596,0.64088,0.85702,0.83537,0.68417,0.75712,0.53289,0.73834,0.55324,0.82081,0.0005075,0.0005075,0.0005075
62,477.842,0.82439,0.63292,0.86249,0.86403,0.67897,0.76202,0.53893,0.71053,0.53524,0.8172,0.000495125,0.000495125,0.000495125
63,485.419,0.80938,0.63816,0.86243,0.85596,0.6922,0.77019,0.55547,0.66072,0.5227,0.81199,0.00048275,0.00048275,0.00048275
64,493.018,0.79108,0.62707,0.85515,0.82587,0.70438,0.7646,0.54134,0.69688,0.5315,0.8149,0.000470375,0.000470375,0.000470375
65,500.544,0.78739,0.60913,0.85251,0.82889,0.68604,0.7615,0.54174,0.69903,0.53827,0.81435,0.000458,0.000458,0.000458
66,508.106,0.78034,0.614,0.85678,0.8077,0.70716,0.75695,0.53728,0.71835,0.52948,0.81627,0.000445625,0.000445625,0.000445625
67,515.678,0.7853,0.62033,0.85405,0.85407,0.6801,0.76304,0.53706,0.7153,0.53567,0.81642,0.00043325,0.00043325,0.00043325
68,523.209,0.7904,0.61655,0.85371,0.84766,0.70558,0.76977,0.54006,0.72448,0.52582,0.81601,0.000420875,0.000420875,0.000420875
69,530.746,0.79266,0.62122,0.85925,0.85685,0.69711,0.77097,0.557,0.67561,0.50517,0.81152,0.0004085,0.0004085,0.0004085
70,538.329,0.77147,0.60094,0.85016,0.84221,0.69997,0.7743,0.55888,0.66463,0.5057,0.81014,0.000396125,0.000396125,0.000396125
71,545.892,0.77351,0.59882,0.84968,0.8388,0.69793,0.76871,0.55687,0.66,0.51459,0.81044,0.00038375,0.00038375,0.00038375
72,553.536,0.78859,0.6154,0.84672,0.84323,0.70378,0.78001,0.56279,0.66639,0.50769,0.8109,0.000371375,0.000371375,0.000371375
73,561.172,0.79493,0.61172,0.85246,0.83308,0.70155,0.77685,0.56548,0.65776,0.50397,0.81099,0.000359,0.000359,0.000359
74,568.747,0.75874,0.5834,0.8501,0.84517,0.7035,0.77641,0.56355,0.66608,0.50451,0.81053,0.000346625,0.000346625,0.000346625
75,576.331,0.76968,0.5973,0.85228,0.8529,0.6996,0.77478,0.55063,0.70091,0.52316,0.81364,0.00033425,0.00033425,0.00033425
76,583.868,0.74884,0.58788,0.84865,0.85513,0.69507,0.77702,0.55513,0.69999,0.50317,0.81192,0.000321875,0.000321875,0.000321875
77,591.384,0.76878,0.59382,0.8454,0.84108,0.70744,0.77625,0.56341,0.68101,0.50093,0.81033,0.0003095,0.0003095,0.0003095
78,598.925,0.78664,0.59928,0.84837,0.83973,0.71245,0.78056,0.56694,0.66135,0.501,0.80849,0.000297125,0.000297125,0.000297125
79,606.49,0.75667,0.58458,0.84841,0.8565,0.70871,0.78128,0.57085,0.6441,0.49133,0.80807,0.00028475,0.00028475,0.00028475
