epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,24.3932,1.27461,2.90247,1.06917,0.08772,0.37513,0.17901,0.12496,1.00458,3.40002,0.91658,0.00040625,0.00040625,0.00040625
2,46.981,0.9906,1.6069,0.96902,0.42597,0.29751,0.29742,0.20289,1.12798,2.76462,0.94809,0.000820859,0.000820859,0.000820859
3,69.5786,0.92055,1.34904,0.93659,0.79668,0.51041,0.68502,0.46404,0.98379,1.76982,0.91917,0.00123339,0.00123339,0.00123339
4,92.1944,0.90936,1.25246,0.92013,0.76522,0.73043,0.79459,0.53689,0.97853,1.09028,0.91541,0.00124062,0.00124062,0.00124062
5,114.756,0.83391,1.0916,0.89921,0.79427,0.74722,0.81503,0.5697,0.88487,0.97092,0.88087,0.0012375,0.0012375,0.0012375
6,137.201,0.77595,1.01049,0.8931,0.83094,0.77084,0.83689,0.61932,0.78248,0.8539,0.86306,0.00123438,0.00123438,0.00123438
7,159.756,0.78774,0.96269,0.88442,0.82361,0.75584,0.82782,0.62031,0.74539,0.88201,0.86573,0.00123125,0.00123125,0.00123125
8,182.236,0.74743,0.95077,0.88502,0.84865,0.77379,0.85212,0.64178,0.72346,0.77692,0.8529,0.00122812,0.00122812,0.00122812
9,204.702,0.70532,0.87379,0.86823,0.86235,0.78016,0.86467,0.65316,0.6824,0.73149,0.84311,0.001225,0.001225,0.001225
10,227.062,0.69393,0.82986,0.86736,0.87506,0.7974,0.88127,0.67839,0.67136,0.69186,0.83564,0.00122188,0.00122188,0.00122188
11,249.574,0.70229,0.8006,0.86269,0.88533,0.81718,0.89353,0.67723,0.70921,0.66964,0.83843,0.00121875,0.00121875,0.00121875
12,271.894,0.68388,0.79254,0.86252,0.86782,0.81535,0.89649,0.67686,0.70118,0.68388,0.84171,0.00121562,0.00121562,0.00121562
13,294.271,0.68653,0.77915,0.86925,0.88996,0.82604,0.89696,0.67231,0.74883,0.64772,0.84307,0.0012125,0.0012125,0.0012125
14,316.671,0.69824,0.75308,0.86198,0.88064,0.81619,0.88889,0.69058,0.64973,0.63641,0.83104,0.00120938,0.00120938,0.00120938
15,339.119,0.65041,0.70908,0.85452,0.86826,0.82946,0.89275,0.68395,0.67959,0.62838,0.83081,0.00120625,0.00120625,0.00120625
16,361.406,0.64735,0.71156,0.85441,0.89394,0.78243,0.88607,0.69701,0.62472,0.61052,0.8221,0.00120312,0.00120312,0.00120312
17,383.678,0.63238,0.68075,0.85069,0.88484,0.81327,0.8956,0.7048,0.59517,0.6007,0.82347,0.0012,0.0012,0.0012
18,406.071,0.62665,0.67204,0.84736,0.869,0.83654,0.89479,0.71426,0.58315,0.58608,0.82307,0.00119688,0.00119688,0.00119688
19,428.471,0.65697,0.67016,0.85698,0.89636,0.81303,0.90068,0.71219,0.61607,0.57811,0.81881,0.00119375,0.00119375,0.00119375
20,450.8,0.61841,0.64383,0.84797,0.91769,0.81692,0.91428,0.73113,0.60306,0.54231,0.8191,0.00119063,0.00119063,0.00119063
