epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,21.4851,1.28067,2.33585,1.05368,0.12169,0.59248,0.41598,0.29094,1.14225,2.80957,0.92847,0.000466807,0.000466807,0.000466807
2,42.1702,0.92865,1.26131,0.92843,0.75033,0.49142,0.67016,0.48953,0.92802,1.73566,0.88873,0.000933803,0.000933803,0.000933803
3,62.7017,0.88476,1.13744,0.91152,0.77785,0.74201,0.81248,0.53565,1.12381,1.06203,0.94295,0.00139137,0.00139137,0.00139137
4,83.048,0.85161,1.04287,0.90397,0.82226,0.78471,0.86583,0.63727,0.81382,0.88819,0.86702,0.00138656,0.00138656,0.00138656
5,102.989,0.79789,0.95257,0.90212,0.86884,0.79116,0.88902,0.65464,0.80801,0.82038,0.85632,0.00137241,0.00137241,0.00137241
6,123.315,0.78242,0.88278,0.88464,0.87815,0.80417,0.90306,0.68816,0.7359,0.77314,0.84527,0.00135826,0.00135826,0.00135826
7,143.712,0.76776,0.85913,0.87804,0.89241,0.82752,0.90667,0.65142,0.87449,0.74006,0.87091,0.00134412,0.00134412,0.00134412
8,163.965,0.74993,0.82695,0.87601,0.88261,0.81468,0.90838,0.72514,0.60686,0.69564,0.82819,0.00132997,0.00132997,0.00132997
9,184.283,0.73795,0.79606,0.86857,0.89038,0.82354,0.91107,0.69565,0.71763,0.64726,0.84335,0.00131582,0.00131582,0.00131582
10,204.305,0.69871,0.74919,0.86244,0.90167,0.85059,0.92454,0.73351,0.64162,0.65001,0.831,0.00130168,0.00130168,0.00130168
11,224.274,0.67493,0.72821,0.85535,0.88766,0.85093,0.91893,0.69217,0.7887,0.62286,0.84684,0.00128753,0.00128753,0.00128753
12,244.045,0.67863,0.71096,0.85871,0.88723,0.86719,0.93002,0.76005,0.56927,0.5917,0.82071,0.00127338,0.00127338,0.00127338
13,263.906,0.65174,0.67642,0.84787,0.89507,0.8528,0.92901,0.74771,0.57607,0.57986,0.81713,0.00125923,0.00125923,0.00125923
14,283.842,0.63526,0.64955,0.84879,0.89807,0.87082,0.9351,0.74836,0.61586,0.55273,0.81919,0.00124509,0.00124509,0.00124509
15,303.698,0.64078,0.63245,0.84567,0.91694,0.85718,0.93317,0.75168,0.60636,0.53317,0.81713,0.00123094,0.00123094,0.00123094
16,323.618,0.63038,0.61781,0.84302,0.92057,0.87329,0.93918,0.76583,0.56403,0.51938,0.81804,0.00121679,0.00121679,0.00121679
17,343.556,0.61633,0.60909,0.84411,0.91689,0.86639,0.93383,0.77914,0.52449,0.51843,0.80845,0.00120265,0.00120265,0.00120265
18,363.532,0.60901,0.60111,0.83813,0.92116,0.88182,0.94384,0.78775,0.51774,0.48347,0.80659,0.0011885,0.0011885,0.0011885
19,383.767,0.61487,0.58691,0.83874,0.93503,0.86514,0.94582,0.77923,0.53171,0.49799,0.80874,0.00117435,0.00117435,0.00117435
20,403.496,0.59348,0.57397,0.8405,0.92604,0.87489,0.94541,0.79072,0.50475,0.48378,0.80374,0.00116021,0.00116021,0.00116021
21,423.859,0.61422,0.56621,0.83981,0.92299,0.89695,0.94883,0.78734,0.5401,0.4795,0.81185,0.00114606,0.00114606,0.00114606
22,443.732,0.59915,0.56561,0.84591,0.89984,0.89356,0.93731,0.78877,0.50707,0.49843,0.81018,0.00113191,0.00113191,0.00113191
23,463.542,0.59719,0.55594,0.83561,0.92303,0.8762,0.94642,0.79492,0.51069,0.47023,0.80455,0.00111776,0.00111776,0.00111776
24,483.424,0.58216,0.53799,0.83853,0.93273,0.90272,0.95065,0.78187,0.58137,0.467,0.81015,0.00110362,0.00110362,0.00110362
